====================
post_office  |  Shin-Matsudo Post Office
fast_food  |  マクドナルド
place_of_worship  |  飯能キリスト聖園教会
place_of_worship  |  妙正寺
public_building  |  さいたま地方法務局熊谷支局
parking  |  P-Station
place_of_worship  |  松庵稲荷神社(Shoan-Inarijinja)
fast_food  |  ケンタッキーフライドチキン
police  |  万世橋警察署
school  |  日野中央高校等特別支援学校
theatre  |  横須賀HUMAXシネマズ８
restaurant  |  サイゼリヤ
restaurant  |  サイゼリヤ
restaurant  |  ジョナサン
place_of_worship  |  大野キリスト教会
fast_food  |  ラーメン二郎　相模大野店
bank  |  みずほ銀行
restaurant  |  日比谷 松本楼
post_office  |  Hiratsuka Post Office
restaurant  |  ジョリーパスタ
restaurant  |  ココス
place_of_worship  |  羽根木神社
restaurant  |  安楽亭
fast_food  |  みちる屋
fast_food  |  吉野家（Yoshino-Ya)
pub  |  山本魚吉商店
pub  |  月島
fast_food  |  モスバーガー
restaurant  |  サモサ
pub  |  五大陸（Gotairiku)
fast_food  |  マクドナルド
restaurant  |  東京ラーメン 大番
place_of_worship  |  金乗院
fast_food  |  松乃家
post_office  |  吉祥寺南町郵便局
police  |  松戸警察署稔台交番
library  |  松戸市立図書館 稔台分館
bank  |  昭和信用金庫 桜上水支店
fuel  |  ENEOS
place_of_worship  |  永福稲荷神社
bank  |  三井住友銀行 成城支店
fast_food  |  マクドナルド
bank  |  八千代銀行 調布支店
place_of_worship  |  梅松院念仏寺
pharmacy  |  コアラ薬局
fuel  |  ESSO
place_of_worship  |  法華宗 理性寺
restaurant  |  成都担担麺
place_of_worship  |  金光教松戸教会
restaurant  |  デニーズ
fuel  |  エネオスEnejet
place_of_worship  |  廣龍寺 (Koryuji)
police  |  駒込駅前交番
place_of_worship  |  雷神宮天満宮
fuel  |  キグナス石油
library  |  希望丘まちかど図書館
place_of_worship  |  青林山 東覚院
place_of_worship  |  清光寺
place_of_worship  |  観音院
atm  |  ファミリーマート
doctors  |  松戸クリニック
bank  |  京葉銀行
place_of_worship  |  明治神社
hospital  |  松戸呼吸器内科クリニック
bank  |  ろうきん
doctors  |  石島医院
fast_food  |  マクドナルド
police  |  北松戸交番 (Kitamatsudo Koban)
police  |  方南交番
place_of_worship  |  立正佼成会
library  |  千葉県立 西部図書館
library  |  大宅壮一文庫
parking  |  リパーク (Re-Park)
restaurant  |  ココス
post_office  |  常盤平駅前郵便局
post_box;atm  |  ファミリーマート
place_of_worship  |  願行寺
place_of_worship  |  東京聖テモテ教会
restaurant  |  根の津
place_of_worship  |  西教寺
community_centre  |  文京区立　不忍通りふれあい館
cafe  |  芋甚
restaurant  |  魚菜　根津　呼友
cafe  |  喫茶・ギャラリー　りんごや
cafe  |  NaCaSa
fast_food  |  一二三
parking  |  コインパーク根津第２
cafe  |  カフェ・コパン
cafe  |  Couzt Cafe
place_of_worship  |  真島稲荷神社
arts_centre  |  日本郵便趣味協会
public_building  |  谷中区民館
cafe  |  やなか珈琲店
public_building  |  台東区立谷中コミュニティセンター
parking  |  Times24
public_bath  |  梅の湯
fast_food  |  マクドナルド
fast_food  |  FRESHNESS BURGER
bank  |  みずほ銀行
hospital  |  クリニック斉藤
fire_station  |  世田谷消防署 松原出張所
doctors  |  Airi Hospital
fuel  |  SHELL
theatre  |  野外ステージ
bank  |  横浜銀行
theatre  |  吉祥寺シアター
bank  |  八千代銀行
fast_food  |  ラーメン花月
fire_station  |  武蔵野消防署吉祥寺出張所
parking  |  Park it!
fast_food  |  ミスタードーナツ
restaurant  |  珍来 (Chinrai)
cafe  |  ツウィン (Twin)
place_of_worship  |  松龍寺
place_of_worship  |  松先稲荷神社
fuel  |  ENEOSフロンティア
hospital  |  島村トータル・ケア・クリニック
bank  |  東京都民銀行
cafe  |  スターバックス
fast_food  |  貴生
place_of_worship  |  水神宮
pharmacy  |  マツモトキヨシ
clinic  |  若林胃腸科
restaurant  |  デニーズ
hospital  |  済生会栗橋病院
townhall  |  久喜市役所栗橋総合支所
place_of_worship  |  春日神社
hospital  |  田代外科医院
post_office  |  三鷹郵便局 (Mitaka Post Office)
place_of_worship  |  みのり神社 (Minori Shrine)
place_of_worship  |  熊野神社 (Kumano Shrine)
place_of_worship  |  瑞雲寺
kindergarten  |  世田谷区立 船橋西保育園
public_building  |  世田谷区立 粕谷区民センター
restaurant  |  安楽亭
restaurant  |  珍来 (Tinrai)
restaurant  |  すし松 (Sushimatsu)
fast_food  |  王将
police  |  座間駅前交番
theatre  |  さいたま市文化センター
post_office  |  成城学園前郵便局
place_of_worship  |  天台宗 知行院
bicycle_parking  |  すずかけ駐輪場
fuel  |  ENEOS
toilets  |  手洗所
police  |  海老名警察署 海西交番
post_office  |  川崎三田郵便局
restaurant  |  東秀 本厚木駅東口店
fast_food  |  東秀 向ヶ丘遊園店
fast_food  |  マクドナルド 向ヶ丘遊園駅前店
embassy  |  駐日タンザニア連合共和国
police  |  立川警察署
bank  |  群馬銀行 立川支店
hospital  |  山下医院
restaurant  |  チャンダン
restaurant  |  ゆたか本店
tax_office  |  玉川税務署 (Tamagawa Tax Office)
cafe  |  たちばな書店蒲田店
pub  |  立飲み多楽福
toilets  |  蒲田西口駅前公衆便所せせらぎ
embassy  |  カナダ大使館
post_office  |  登戸駅前郵便局
toilets  |  三鷹台駅前公衆便所
public_building  |  三鷹台市政窓口
post_office  |  三鷹台郵便局
police  |  中原駐在所
cafe  |  イタリアントマト
hospital  |  平塚市民病院
hospital  |  富医院
restaurant  |  ロイヤルホスト
hospital  |  加藤診療所
pharmacy  |  つくし薬局
dentist  |  てらだ歯科クリニック
cafe  |  まとい
kindergarten  |  杉の子学園
pub  |  サカイ食堂
place_of_worship  |  三輪里稲荷神社 （こんにゃく稲荷）
place_of_worship  |  正覚寺
bank  |  東京東信用金庫 八広支店
fast_food  |  日本一きびだんご
public_building  |  向島税務署
fast_food  |  マクドナルド
library  |  三鷹図書館(本館)
pub  |  スナック亜紀
fire_station  |  向島消防団 第三分団本部
embassy  |  シリア・アラブ共和国大使館
post_office  |  藤沢西富郵便局
school  |  藤沢清流高校
school  |  大清水中学校
school  |  大清水小学校
place_of_worship  |  日本キリスト教団 永福教会
pharmacy  |  山本薬局
restaurant  |  ますや
public_building  |  松戸税務署
place_of_worship  |  小根本神明神社
post_office  |  松戸東口郵便局
fuel  |  ENEOS
hospital  |  新東京クリニック
restaurant  |  サイゼリヤ
pub  |  居酒屋わだち
public_bath  |  湯楽の里
restaurant  |  源平うどん
fast_food  |  らーめんめんぱち
restaurant  |  いわたき
place_of_worship  |  大正寺
fast_food  |  とみ田
place_of_worship  |  すくもづか稲荷神社
fast_food  |  大勝軒
restaurant  |  ROYAL HOST
post_office  |  藤沢郵便局
police  |  川越警察署神明町交番
cinema  |  東亜会館(スカラ座、オデオン座、セントラル、東宝)
restaurant  |  ガスト
fast_food  |  維新號
fast_food  |  マクドナルド
fast_food  |  ケンタッキーフライドチキン
library  |  方南図書館
post_office  |  中野南台郵便局
place_of_worship  |  多田神社
place_of_worship  |  寳福寺
fuel  |  ENEOS
fast_food  |  吉野家
pharmacy  |  ウェルシア
fast_food  |  マクドナルド
restaurant  |  いせや
fast_food  |  マクドナルド
police  |  相模が丘交番
post_office  |  座間郵便局
fast_food  |  CoCo壱番屋
fire_station  |  松戸市消防局 五香消防署
pharmacy  |  マツモトキヨシ
restaurant  |  COCO’S
restaurant  |  サイゼリヤ
restaurant  |  ガスト
fast_food  |  マクドナルド
public_building  |  東小金井駅開設記念館
restaurant  |  サイゼリヤ
hospital  |  吉祥寺病院
pharmacy  |  マツモトキヨシ
dentist  |  横山歯科医院
place_of_worship  |  つつじヶ丘使途キリスト教会
pharmacy  |  ドラッグケイオー
pharmacy  |  灰吹屋薬局
fast_food  |  PIZZA-LA
post_office  |  柿生郵便局
restaurant  |  安福源
fast_food  |  マクドナルド
toilets  |  北口観光トイレ
fast_food  |  ミスタードーナツ
place_of_worship  |  カトリック成城教会
doctors  |  成城墨岡クリニック
fast_food  |  松屋 成城学園前店
post_office  |  世田谷上祖師谷二郵便局
doctors  |  浜田山診療所
restaurant  |  ラッフルズ
cafe  |  ドトールコーヒーショップ エッソ流山
fuel  |  エッソ流山
university  |  早稲田大学西早稲田キャンパス
post_office  |  世田谷北沢郵便局
restaurant  |  デニーズ
dentist  |  南千住汐入歯科
restaurant  |  栄寿司 (Sakae Sushi)
restaurant  |  尾花 (Obana)
place_of_worship  |  日本キリスト教団 生田教会
kindergarten  |  育成幼稚園
pharmacy  |  ミネ薬局d
restaurant  |  BHARAT
dentist  |  伊藤歯科医院
restaurant  |  ジョナサン
bank  |  城北信用金庫
restaurant  |  Coco's
fast_food  |  マクドナルド
fast_food  |  松屋
public_building  |  渋谷区初台区民館
restaurant  |  デニーズ
fast_food  |  オリジン弁当
restaurant  |  ステーキのあさくま松戸店
post_office  |  狛江岩戸南郵便局
fuel  |  三井石油
pharmacy  |  ココカラファイン
restaurant  |  割烹 関宿屋
parking  |  大栄パーク
townhall  |  みどりコミュニティセンター
car_rental  |  トヨタレンタカー
fire_station  |  消防署
fast_food  |  マクドナルド 菊川駅前店
fast_food  |  吉野家 菊川駅前店
cafe  |  Cafe Hatopoppo
place_of_worship  |  福昌寺
fuel  |  東京日石オートガス
cafe  |  カフェ・ベローチェ
bank  |  みずほ銀行
fast_food  |  ケンタッキーフライドチキン
cafe  |  三番町カフェ
cafe  |  UCC Cafe Plaza
public_building  |  祖師谷ふれあいセンター
post_office  |  祖師ヶ谷大蔵駅前郵便局
restaurant  |  高田屋 (Takadaya)
veterinary  |  マスナガ動物病院
doctors  |  中村外科医院
fuel  |  ENEOS
dentist  |  朝生歯科医院
place_of_worship  |  日本キリスト教団 経堂緑岡教会
restaurant  |  こぶへい
hospital  |  相模大野病院
dentist  |  庄井歯科医院
kindergarten  |  心宝学園 谷口幼稚園
fast_food  |  しゃんと
restaurant  |  ガスト
restaurant  |  月亭
doctors  |  飯田内科クリニック
restaurant  |  天忠
college  |  町田調理・製菓 技術研修所
bank  |  山梨中央銀行
bank  |  新生銀行
cafe  |  A&A認定ベクターワークスカフェジャパン
restaurant  |  長崎ちゃんぽんリンガーハット
dentist  |  浜田山デンタルクリニック (Hamadayama Dental Clinic)
fast_food  |  吉野家
doctors  |  桜丘クリニック
townhall  |  世田谷区 桜丘区民センター
post_office  |  世田谷桜丘二郵便局
pub  |  居酒屋津國屋
cafe  |  カフェ・ベローチェ
pub  |  魚民
fast_food  |  フレッシュネスバーガー
pub  |  笑笑
fast_food  |  まことや
dentist  |  小林歯科医院
fast_food  |  Taco Bell
restaurant  |  尾花
fast_food  |  ケンタッキーフライドチキン
restaurant  |  グリルゆうかり
restaurant  |  手打ちそば 山禅
doctors  |  くるみ整骨院
place_of_worship  |  上板橋キリスト教会
bank  |  城北信用金庫
clinic  |  イムス記念病院
bank  |  きらぼし銀行
pharmacy  |  マツモトキヨシ
fast_food  |  大番
fast_food  |  スシロー回転寿司
restaurant  |  サイゼリヤ
fast_food  |  どんどん 登戸店
dentist  |  しむら歯科クリニック
pharmacy  |  ナカヤマ薬局
dentist  |  さかき歯科クリニック
pharmacy  |  葵調剤薬局
restaurant  |  焼肉レストラン 松坂
fast_food  |  横浜ラーメン笑の家
dentist  |  泉歯科 (Izumi Dental Office)
place_of_worship  |  創価学会世田谷文化会館
hospital  |  池上幸仁診療所
place_of_worship  |  池上本門寺
dentist  |  倉治歯科医院
cafe  |  CoffeeHouse 潤
restaurant  |  ダブレット
restaurant  |  讃岐ノ国丸亀うどん
fast_food  |  中華そば志の田 (Shinoda)
place_of_worship  |  林間聖バルナバ教会
veterinary  |  東林間どうぶつ病院
kindergarten  |  松が枝保育園
bank  |  昭和信用金庫 経堂支店
restaurant  |  喜作寿し
place_of_worship  |  和泉福音教会
doctors  |  ぱんだ接骨院
place_of_worship  |  日本長老教会 杉並教会
public_building  |  杉並区立 和田堀会館
dentist  |  晴海歯科
doctors  |  坪井医院
pharmacy  |  セイジョー
place_of_worship  |  宗延寺
place_of_worship  |  本仏寺
place_of_worship  |  修行寺
place_of_worship  |  日蓮宗 妙祝寺
dentist  |  ルックデンタルクリニック
post_office  |  渋谷神南郵便局
restaurant  |  チャングミ
place_of_worship  |  渋谷日本基督会
community_centre  |  成三会館
fast_food  |  オリジン弁当
restaurant  |  高円寺肉汁うどん
doctors  |  たけうち内科
place_of_worship  |  尾崎熊野神社
post_office  |  座間駅前郵便局
doctors  |  あいる整骨院
public_building  |  座間児童館
restaurant  |  飯野山
doctors  |  井上外科整形外科
doctors  |  さとだ内科クリニック
dentist  |  飯田歯科医院
pub  |  いさご
doctors  |  元谷整形外科
restaurant  |  新曻飯店
pharmacy  |  あすか薬局
restaurant  |  とん鈴
restaurant  |  そば竹
doctors  |  平井内科クリニック
dentist  |  くぼ歯科医院
fast_food  |  モスバーガー
pharmacy  |  ツルハドラッグ
post_office  |  川崎栗平郵便局
restaurant  |  ラーメン信華
restaurant  |  ガスト
veterinary  |  吉川動物病院
fast_food  |  モスバーガー
fast_food  |  CoCo壱番屋
restaurant  |  らーめん せい家 経堂店
place_of_worship  |  乗泉寺 世田谷別院
doctors  |  中田小児科クリニック
pharmacy  |  ニイナ薬局
bank  |  三菱東京UFJ銀行
doctors  |  とよしまクリニック
pub  |  おやまだ
restaurant  |  ジョナサン
cafe  |  カフェ・ベローチェ
cafe  |  MORIVA COFFEE
fast_food  |  マクドナルド
restaurant  |  ナンカレー
place_of_worship  |  文殊院
restaurant  |  ジョナサン
restaurant  |  肉の万世
police  |  神田警察署お茶の水交番
fast_food  |  ロッテリア
cafe  |  スターバックス
police  |  加賀町警察署元町交番
bank  |  みずほ銀行
kindergarten  |  海老名幼稚園
dentist  |  林歯科医院
dentist  |  島崎歯科
restaurant  |  こけし屋
fast_food  |  ケンタッキーフライドチキン
doctors  |  永福町天谷総合医院 (Eifuku-cho Amaya Medical Center)
doctors  |  滝澤医院
doctors  |  小林整形外科医院
veterinary  |  かじわら動物病院 (Kajiwara Animal Clinic)
pub  |  おかめ
doctors  |  浜田山クリニック (Hamadayama Clinic)
restaurant  |  いろは鮨
restaurant  |  ジョナサン
fast_food  |  マクドナルド
place_of_worship  |  飯守神社
restaurant  |  石挽そば 寿々孝
doctors  |  森島鍼灸接骨院
doctors  |  山形医院
public_bath  |  松原湯
dentist  |  鹿野歯科医院 (Kano Dental Clinic)
pharmacy  |  サガミ薬品
restaurant  |  康楽
restaurant  |  安安
restaurant  |  玄品ふぐ
college  |  東京個人指導会
studio  |  スタジオ セイント
police  |  祖師谷地域安全センター
dentist  |  こどもおとな歯科
fast_food  |  マクドナルド
fast_food  |  王チャン
fast_food  |  オリジン弁当
fast_food  |  マクドナルド
car_rental  |  ニッポンレンタカー
police  |  宿河原交番
fuel  |  ENEOS
marketplace  |  あみ野菜
restaurant  |  福福亭
restaurant  |  蕎麦木鉢坊
fuel  |  吉田石油 (Yoshida Oil)
place_of_worship  |  金比羅神社 (Konpira Shrine)
place_of_worship  |  多摩川水神
pharmacy  |  コスモ薬局
